scenario_name,algorithm,size,annealings,iterations,status,evaluation,exec_time
scenario3,twolocalrandom,8,30,60,solution_found,194.52,67.73289189301431
scenario3,twolocalrandom,10,15,55,solution_found,194.73000000000002,32.541399620473385
scenario2,dj,10,1,30,solution_found,570.7363514253377,2.370714884251356
scenario3,realamprandom,10,1,60,solution_found,200.52,2.5554838124662638
scenario2,qaoa,6,1,60,solution_found,651.5734323048384,3.8712095748633146
scenario2,qnn,10,25,10,solution_found,362.3289437774571,14.808773774653673
scenario2,vqe,6,15,5,solution_found,243.16959240443086,4.6427758894860744
scenario1,qft,6,20,45,solution_found,200.25646914682832,51.56752989254892
scenario1,qnn,6,1,15,solution_found,275.3058909387052,1.123884603381157
scenario3,dj,8,10,60,solution_found,373.84000000000003,26.511933729052544
scenario3,vqe,6,10,55,solution_found,195.09,20.973752891644835
scenario1,qaoa,10,10,30,solution_found,575.3244457340543,8.401981573551893
scenario3,realamprandom,6,1,15,solution_found,198.67000000000002,1.1523145847022533
scenario2,twolocalrandom,10,20,10,solution_found,248.51601334272476,11.714396972209215
scenario1,realamprandom,6,1,20,solution_found,204.53959827311604,1.5628582183271646
scenario3,realamprandom,10,1,5,solution_found,237.84,0.31061924062669277
scenario1,twolocalrandom,6,10,35,solution_found,200.54572582665776,20.487013107165694
scenario1,qaoa,10,25,30,solution_found,575.1747345381536,21.183373792096972
scenario2,qaoa,6,15,10,solution_found,663.1926258794007,9.199995851144195
scenario2,qnn,8,5,10,solution_found,351.0206732700678,3.217803543433547
scenario3,realamprandom,8,25,40,solution_found,195.12,37.87535198405385
scenario3,qnn,10,1,10,solution_found,290.24,0.6099808309227228
scenario3,vqe,6,10,40,solution_found,195.4,15.175484916195273
scenario2,vqe,10,10,50,solution_found,253.37976788363818,27.55264224112034
scenario3,qaoa,6,5,10,solution_found,452.50000000000006,2.59289482049644
scenario3,realamprandom,6,5,1,solution_found,210.20999999999998,0.39453174732625484
scenario3,realamprandom,10,20,40,solution_found,195.45,31.928682424128056
scenario1,qaoa,8,25,50,solution_found,575.052973964674,33.199415016919374
scenario2,qnn,8,20,45,solution_found,364.7526165948393,48.85037371143699
scenario2,qaoa,8,1,45,solution_found,659.5738709189386,2.9977576434612274
scenario1,twolocalrandom,8,1,35,solution_found,204.39441457308249,2.4550053160637617
scenario2,dj,6,25,50,solution_found,576.7986814513854,70.56516209430993
scenario2,twolocalrandom,8,5,55,solution_found,253.7695178729752,15.109964732080698
scenario1,qaoa,10,25,50,solution_found,575.1674129116652,34.53056267090142
scenario1,qnn,8,15,5,solution_found,280.7747473190484,5.353701453655958
scenario1,qaoa,8,30,30,solution_found,575.4660532343377,24.314100947231054
scenario3,qaoa,10,1,25,solution_found,442.00000000000006,1.3728138115257025
scenario3,qaoa,6,1,55,solution_found,444.08,2.611908223479986
scenario1,vqe,6,15,15,solution_found,202.2078125548445,13.701635992154479
scenario2,qnn,10,5,25,solution_found,364.4425614084431,7.978162471204996
scenario3,vqe,8,30,35,solution_found,195.1,40.20128009468317
scenario1,twolocalrandom,6,1,25,solution_found,205.98568844325504,1.8832809142768383
scenario2,qaoa,10,15,1,solution_found,628.0337929300656,1.6667518224567175
scenario2,vqe,8,5,35,solution_found,252.30009253855062,9.707212770357728
